name,sell_price,sell_listings
Actuator of the Steamcutter,$0.03,169
AD2L Season 4 WTS 1v1,$80.24,2
AD2L Season 5,$4.79,2
AD2L Season 6,$5.76,1
AD2L Season 7,$0.80,7
Adage of the Smoldering Sage,$4.00,34
Adekvat Autograph Avatar - The International 2021,$0.06,30
Admiral's Foraged Cap,$0.03,880
Admiral's Salty Shawl,$0.03,835
Admiral's Stash,$0.03,1073
Adoring Wingfall,$0.58,885
Adornment of Omen's Embrace,$0.03,418
Adornment of the Clergy Ascetic,$0.03,768
Adornments of Blight Set,$0.04,181
Adornments of the Crystal Path,$0.07,99
Adornments of the Ember Crane,$0.03,1110
Adornments of the Storm Djinn,$0.23,39
Advance of the Siege-Drake,$0.77,73
Advance of the Siege-Drake Loading Screen,$0.03,171
AEF Season 1,$3.86,3
Aegis 2018 Emoticon,$0.03,977
Aegis 2019 Emoticon,$0.03,1326
AEGIS Gaming League - ADMIN,$54.76,2
Aegis of the Storm,$0.03,727
AES Summer League S1,$1.44,6
Aether-Wings,$0.21,16
Aethereal Crescent Wand,$0.13,80
Affront of the Overseer,$1.64,78
Affront of the Overseer Loading screen,$0.03,353
Agaric Flourish,$0.85,63
Agaric Flourish Loading Screen,$0.03,1410
Aged Spirit of Tide,$1.76,58
Aghanim's 2021 Emblem,$360.95,7
Aghanim's Basher,$2.02,73
Aghanim's Labryinth 2021 HUD,$0.05,1106
Agony of Endless Days,$2.12,105
Ahm'Hedoq the Maw,$0.15,152
Ainidul the Eternal,$0.21,55
Akakiryu of a Thousand Faces,$0.12,449
Alchemists Infuser,$0.03,1137
Alchemy Essentials Set,$0.07,164
Algid Falcon,$1.26,65
Algid Falcon Bracer,$0.03,200
Algid Falcon Cape,$0.03,175
Algid Falcon Greaves,$0.03,179
Algid Falcon Helm,$0.03,228
Algid Falcon Loading Screen,$0.03,389
Algid Falcon Pauldron,$0.03,195
Algid Falcon Quiver,$0.03,170
Algid Legacy,$0.07,189
Alienware Cup - 2013 Season 1,$337.61,1
Alliance HUD,$0.31,67
Alliance HUD Bundle,$1.73,10
Alliance Loading Screen,$0.07,137
Allure of the Deep,$1.15,73
Alluvion Prophecy,$1.78,188
Almond the Frondillo,$2.39,588
Almond the Frondillo Golden Upgrade,"$1,770.55",1
Almond the Frondillo Red Upgrade,$15.96,77
Alpha Predator Set,$0.04,175
Alphid of Lecaciida,$0.03,1749
Alpine Stalker's Gloves,$36.73,6
Alpine Stalker's Pants,$163.30,8
Alpine Stalker's Scarf,$110.46,13
Amateur Dota 2 League Season 1 - Playoffs,$21.43,1
Amateur Dota 2 League Season 3,$60.33,4
Amateur Dota 2 League Season 3 Invitational,$19.90,1
Amateur Dota 2 League Season 3 Invitational Ticket,$3.02,8
Amateur Dota 2 League Season 4,$48.07,1
Amber Queen,$0.31,147
Amber Queen Loading Screen,$0.03,792
Amber Queen's Spiderling,$0.03,569
Amberlight Armlets,$0.03,105
Amberlight Hood,$0.03,181
Amberlight Loading Screen,$0.03,158
Amberlight Raiment,$5.07,30
Amberlight Sarong,$0.04,76
Amberlight Shawl,$0.03,884
Amberlight Spear,$0.03,199
Ambinderath's Jaw,$0.04,143
AMD D2M League,$50.00,1
AMD Dota2 Premier League,$19.98,1
AMD Dota2 Premier League Season 2,$4.05,2
American Dota League Season 2,$23.00,2
American Dota League Season 2 Ticket,$1.01,5
"American Star League Invitational ",$3.95,2
Amphibian Kid,$2.02,20
Ams Autograph Avatar - The International 2021,$0.18,375
Amusements of the Ageless Fae,$1.33,94
Ancestors' Belt,$0.03,391
Ancestors' Edge,$0.03,404
Ancestors' Pauldron,$0.04,182
Ancestors' Pride Set,$0.04,156
Ancestors' Vambrace,$0.03,221
Ancestral Arm Wrap,$0.03,1202
Ancestral Axes of Karroch,$0.03,1274
Ancestral Belt of Karroch,$0.03,871
Ancestral Bracers of Karroch,$0.03,539
Ancestral Cloak,$0.03,681
Ancestral Dress,$0.03,633
Ancestral Hair of Karroch,$0.03,611
Ancestral Headdress,$0.03,904
Ancestral Luck Loading Screen,$19.98,2
Ancestral Luck Set,$0.28,71
Ancestral Medicine Stick,$0.03,560
Ancestral Trappings Set,$0.04,189
Ancestral Vest of Karroch,$0.03,516
Ancient Arachnarok,$3.63,30
Ancient Armor Arms,$0.03,828
Ancient Armor Back,$0.03,769
Ancient Armor Breastplates,$0.03,944
Ancient Armor Helmet,$0.03,229
Ancient Armor Set,$0.04,137
Ancient Armor Shoulder Shields,$0.03,887
Ancient Bonds,$0.03,646
Ancient Cage,$0.03,342
Ancient Crasher,$0.09,148
Ancient Crescent,$0.10,132
Ancient Crown,$0.04,272
Ancient Cultist,$1.16,98
Ancient Imbued Spinal Blade,$0.03,1223
Ancient Knots,$0.03,948
Ancient Link,$0.03,612
Ancient Mask of Intimidation,$0.08,133
Ancient Rhythms Loading Screen,$0.03,1997
Ancient Slithereen Basher,$0.07,159
Ancipitous Strike of the Parasol's Sting,$0.03,1268
Andalmere the Litigon,$0.03,249
Angel's Tournament,$19.21,1
Angler Tail of the Deep,$0.03,1526
Anguilla,$0.11,219
Announcer: Axe,$0.04,245
Announcer: Bastion,$0.16,198
Announcer: Bristleback,$0.03,955
Announcer: Clockwerk,$0.06,125
Announcer: Crystal Maiden,$0.05,426
Announcer: Dark Willow,$0.04,705
Announcer: Darkest Dungeon (ft. Wayne June),$8.81,19
Announcer: Death Prophet,$0.15,75
Announcer: Defense Grid,$0.11,114
Announcer: Deus Ex,$0.71,103
Announcer: Dr. Kleiner,$0.06,144
Announcer: Fallout 4,$0.05,437
Announcer: GLaDOS,$0.59,150
Announcer: Juggernaut,$0.16,158
Announcer: Kunkka & Tidehunter,$0.04,595
Announcer: Lina,$0.43,135
Announcer: Meepo,$0.03,1577
Announcer: Monkey King,$1.44,32
Announcer: Nature's Prophet,$0.04,185
Announcer: Pirate Captain,$0.04,181
Announcer: Pyrion Flax,$0.18,156
Announcer: Rick and Morty,$6.05,164
Announcer: Storm Spirit,$0.18,118
Announcer: Techies,$0.09,295
Announcer: The Stanley Parable,$0.52,91
Announcer: Trine,$0.12,120
Announcer: Tusk,$0.03,235
Anointed Armor of Ruination,$0.04,178
Antennae of the Loomkeeper,$0.03,424
Antennae of the Master Weaver,$0.03,925
Anterior of the Abysm,$0.07,96
Antipode Couriers,$0.37,79
Antipodean Allies,$5.87,37
Antiquity,$0.12,39
Anunkasan,$0.03,712
Anvil of the Earthwright,$2.13,33
AOC Pro Cup Season 1,$18.72,3
Aperture Science Wardcore,$1.27,88
Apex Explorer,$12.65,11
Apex of Measureless Ruin,$0.11,301
Apogee of the Guardian Flame,$3.42,464
Apron of the Outlandish Gourmet,$0.04,109
Aquemerald Blade,$0.12,102
Aqwanderer Boots,$0.03,199
Aqwanderer Bracers,$0.03,265
Aqwanderer Carapace,$0.03,200
Aqwanderer Crown,$0.03,199
Aqwanderer Neckbrace,$0.03,367
Aqwanderer Set,$2.00,11
Araceae's Tribute Bracelets,$0.03,1019
Araceae's Tribute Hair,$0.03,987
Araceae's Tribute Necklace,$0.03,951
Araceae's Tribute Set,$0.03,132
Araceae's Tribute Skirt,$0.03,1297
Araceae's Tribute Spear,$0.03,1272
Arachnarok,$0.14,144
Arachnarok Loading Screen,$0.03,849
Arachnarok Spiderling,$0.03,656
Arc of Manta,$0.57,164
Arc of Manta - Off-Hand,$0.58,135
Arc of Skarsnik,$0.03,275
Arc of the Northern Wind,$0.03,1071
Arc of the Solar Divine,$0.03,1109
Arc of the Sovereign,$5.03,58
Arc of the Sovereign Arms,$0.07,57
Arc of the Sovereign Back,$0.64,41
Arc of the Sovereign Belt,$2.62,26
Arc of the Sovereign Head,$0.54,30
Arc of the Sovereign Loading Screen,$0.08,23
Arcane Defiance,$0.66,76
Arcane Defiance Loading Screen,$0.03,187
Arcane Drapings,$0.03,544
Arcane Fist,$0.03,1020
Arcane Infestation,$0.32,91
Arcane Infestation Back,$0.03,319
Arcane Infestation Candles,$0.04,322
Arcane Infestation Head,$0.06,306
Arcane Infestation Legs,$0.05,337
Arcane Infestation Loading Screen,$0.03,593
Arcane Infestation Spiderling,$0.03,270
Arcane Shield,$0.03,649
Arcane Sight,$0.03,871
Arcane Staff of the Ancients,$0.47,63
Arcs of Manta Pack,$31.64,15
Arctic Bracers of the North,$0.03,796
Arctic Hunter Set,$0.04,169
Arctic Hunter's Glove,$0.03,701
Arctic Hunter's Hood,$0.03,691
